employee_id,name,age,department,position,hire_date,leave_date,salary,got_raise,raise_count,months_since_last_raise,has_training,trainings_count,months_since_last_training,performance,enps,attrition
21,Нифонт Харитонович Евсеев,25,Производство,Начальник цеха,2023-04-24,2024-04-02,509.0,0,0,20,0,0,20,2.9,80,1
22,Маслов Станислав Федотович,49,Производство,Начальник цеха,2022-05-24,,371.0,1,1,15,0,0,31,3.9,26,0
23,Егор Глебович Александров,22,HR,HR-специалист,2022-02-21,2022-07-21,739.0,0,0,34,1,1,13,2.9,21,1
24,Одинцова Алла Аскольдовна,38,Производство,Оператор,2023-02-04,,579.0,1,1,9,1,1,22,3.5,63,0
25,Петр Гурьевич Ильин,34,Логистика,Менеджер логистики,2022-06-08,,353.0,0,0,30,0,0,30,3.5,44,0
26,Евфросиния Матвеевна Ширяева,54,Логистика,Кладовщик,2022-02-28,,300.0,0,0,34,0,0,34,3.2,46,0
27,Стоян Арсеньевич Лапин,29,Продажи,Старший менеджер,2023-02-18,,803.0,0,0,22,1,2,19,3.8,54,0
28,Наталья Руслановна Коновалова,35,Логистика,Логист,2022-09-25,,444.0,1,1,7,1,2,12,3.6,-14,0
29,Козлова Полина Антоновна,26,Продажи,Директор продаж,2022-11-20,,444.0,1,2,18,0,0,25,4.0,3,0
30,Якушев Наум Игнатович,37,IT,Разработчик,2024-06-19,,847.0,0,0,6,0,0,6,3.7,76,0
31,Соколова Лариса Тимофеевна,41,Продажи,Менеджер продаж,2023-11-15,,799.0,0,0,13,0,0,13,3.3,65,0
32,Тарас Алексеевич Веселов,35,Производство,Мастер смены,2023-09-12,,521.0,0,0,15,1,1,15,5.0,2,0
33,Михеева Фёкла Даниловна,49,HR,HR-специалист,2022-04-05,,690.0,0,0,32,0,0,32,3.3,3,0
34,Панкратий Ануфриевич Беляев,22,Продажи,Директор продаж,2023-07-29,,483.0,0,0,17,1,2,1,3.9,76,0
35,Прохоров Мечислав Ерофеевич,30,Логистика,Кладовщик,2023-03-17,,290.0,1,1,1,1,1,6,3.0,15,0
36,Виктория Константиновна Селезнева,31,Логистика,Менеджер логистики,2023-09-28,2024-06-25,507.0,0,0,15,0,0,15,2.4,72,1
37,Гаврилова Ксения Рубеновна,43,HR,HR-специалист,2022-07-03,,674.0,1,1,25,1,1,8,4.2,18,0
38,Таисия Кузьминична Кудряшова,34,Производство,Начальник цеха,2022-08-16,,549.0,1,1,11,1,2,26,4.5,71,0
39,Назар Бориславович Павлов,34,Производство,Оператор,2023-11-07,,432.0,1,1,13,0,0,13,4.1,52,0
40,Синклитикия Леоновна Агафонова,29,Производство,Мастер смены,2022-01-29,,566.0,1,1,11,1,4,30,3.4,3,0
41,Моисеев Авдей Бенедиктович,42,Производство,Начальник цеха,2022-12-20,,442.0,1,2,3,1,3,18,3.6,25,0
42,Виктория Федоровна Якушева,49,Логистика,Кладовщик,2023-01-08,,297.0,1,1,19,1,1,21,3.7,78,0
43,Андроник Елизарович Тетерин,41,Продажи,KAM,2023-06-04,,697.0,1,1,12,1,2,9,3.0,55,0
44,Наина Даниловна Уварова,41,Производство,Технолог,2023-09-23,,434.0,0,0,15,1,1,9,3.3,-4,0
45,Твердислав Алексеевич Щербаков,50,Финансы,Финансовый аналитик,2023-04-22,,666.0,0,0,20,1,2,15,4.1,64,0
46,Екатерина Святославовна Симонова,43,Продажи,KAM,2023-06-12,2024-03-31,476.0,0,0,18,1,2,9,1.5,-2,1
47,тов. Самойлова Анжела Борисовна,52,Производство,Оператор,2022-09-08,,491.0,0,0,27,1,3,13,4.3,61,0
48,Сорокина Зоя Семеновна,31,Производство,Начальник цеха,2022-09-07,2023-07-18,504.0,0,0,27,0,0,27,2.8,69,1
49,Воронов Михей Всеволодович,37,Производство,Начальник цеха,2022-02-21,,577.0,0,0,34,1,3,4,3.9,41,0
50,Давыд Тимурович Голубев,54,Производство,Начальник цеха,2023-09-20,2024-08-28,439.0,1,1,5,1,1,14,2.4,3,1
51,Пахомова Анастасия Болеславовна,55,Финансы,Финансовый аналитик,2024-02-24,,684.0,0,0,10,1,1,7,4.1,4,0
52,Белова Ксения Эльдаровна,31,Производство,Оператор,2022-05-22,,385.0,1,2,9,1,1,2,3.8,23,0
53,Яков Александрович Власов,25,Производство,Начальник цеха,2023-03-02,,378.0,1,1,12,1,2,0,4.3,18,0
54,Филатова Марина Матвеевна,46,Производство,Мастер смены,2022-11-02,2024-04-21,559.0,1,1,17,1,1,15,2.4,-2,1
55,Щукина Кира Вячеславовна,47,Логистика,Менеджер логистики,2022-12-11,,457.0,1,1,4,0,0,24,4.4,54,0
56,Герман Измаилович Шубин,51,Производство,Начальник цеха,2022-05-19,,371.0,1,1,24,1,2,6,2.9,28,0
57,Феврония Павловна Стрелкова,48,Производство,Начальник цеха,2022-10-12,,391.0,0,0,26,1,3,0,3.5,14,0
58,Алла Эльдаровна Михеева,23,Продажи,Менеджер продаж,2024-02-12,,806.0,0,0,10,0,0,10,3.2,49,0
59,Любовь Матвеевна Русакова,29,Производство,Начальник цеха,2023-11-17,,478.0,0,0,13,1,1,11,3.5,47,0
60,Парфен Ермилович Фадеев,32,IT,Разработчик,2024-03-07,,1180.0,0,0,9,0,0,9,4.3,88,0
61,Эмиль Эдуардович Крылов,34,Логистика,Менеджер логистики,2023-02-11,,299.0,0,0,22,0,0,22,3.3,57,0
62,Зимина Клавдия Геннадьевна,49,Финансы,Бухгалтер,2022-12-22,,758.0,0,0,24,1,2,0,2.9,78,0
63,Дарья Оскаровна Федотова,45,Финансы,Бухгалтер,2023-03-20,,747.0,1,1,4,1,1,5,3.3,4,0
64,Суханова Зинаида Оскаровна,49,Финансы,CFO,2023-04-22,2023-10-17,827.0,1,1,10,0,0,20,1.4,76,1
65,Моисеева Галина Рудольфовна,51,Производство,Начальник цеха,2022-09-07,,480.0,1,2,12,1,2,0,2.8,32,0
66,Трифон Эдгардович Фролов,39,Производство,Мастер смены,2022-12-15,,566.0,1,2,8,0,0,24,3.5,36,0
67,Богданова Юлия Болеславовна,48,Производство,Технолог,2024-01-08,,457.0,0,0,11,1,1,10,3.3,-28,0
68,Тарасов Фома Артурович,37,Производство,Начальник цеха,2023-12-10,,406.0,1,1,7,1,1,6,2.7,65,0
69,Авдеева Евдокия Афанасьевна,41,Производство,Начальник цеха,2022-10-05,,390.0,0,0,26,1,1,10,4.2,67,0
70,Дорофей Матвеевич Хохлов,52,Производство,Технолог,2024-01-27,,397.0,0,0,11,0,0,11,4.2,76,0
71,Бобылев Мечислав Брониславович,41,Производство,Мастер смены,2022-07-03,,324.0,1,2,4,1,2,1,4.5,59,0
72,Федотов Адриан Фёдорович,22,Производство,Начальник цеха,2022-04-16,2022-09-05,481.0,1,1,30,1,3,10,3.3,-7,1
73,Адриан Терентьевич Горбунов,26,Производство,Начальник цеха,2022-04-27,2023-06-02,432.0,0,0,32,1,4,20,3.3,73,1
74,г-н Зимин Флорентин Адрианович,48,Производство,Технолог,2022-05-02,,490.0,1,2,14,1,3,14,3.1,86,0
75,Панкрат Авдеевич Чернов,25,Производство,Начальник цеха,2022-11-09,,491.0,1,2,3,1,1,20,3.8,-10,0
76,Ия Борисовна Лукина,22,Производство,Оператор,2022-06-10,2023-06-30,434.0,1,2,19,1,3,9,4.6,-26,1
77,Веселов Валерий Гаврилович,36,Продажи,Директор продаж,2022-03-14,,796.0,1,2,12,1,3,3,2.4,86,0
78,Овчинников Никандр Брониславович,32,Финансы,Бухгалтер,2022-03-03,,813.0,1,2,18,1,3,3,3.2,29,0
79,Мухин Георгий Даниилович,54,Производство,Начальник цеха,2022-10-06,,471.0,1,1,2,0,0,26,4.5,47,0
80,Милен Брониславович Михеев,23,Производство,Технолог,2023-11-22,,600.0,1,1,9,0,0,13,2.7,67,0
81,Борисов Дементий Даниилович,33,Производство,Начальник цеха,2022-10-12,,599.0,1,1,20,1,3,2,2.7,11,0
82,Шилов Всемил Трофимович,48,Производство,Технолог,2022-12-04,,514.0,1,1,21,1,3,24,3.7,40,0
83,Яков Трифонович Стрелков,42,Логистика,Логист,2022-09-16,,308.0,1,1,27,0,0,27,3.0,22,0
84,Савва Викентьевич Харитонов,53,Производство,Мастер смены,2023-09-30,2024-05-11,495.0,0,0,15,0,0,15,2.7,4,1
85,Олимпиада Олеговна Шашкова,53,HR,HR-директор,2023-12-17,,442.0,0,0,12,0,0,12,3.5,22,0
86,Моисеева Марина Леоновна,29,Производство,Оператор,2023-04-18,,501.0,0,0,20,1,1,9,3.6,35,0
87,Милица Михайловна Захарова,37,Производство,Начальник цеха,2023-04-29,,448.0,0,0,20,1,1,6,4.3,82,0
88,Лапина Алевтина Болеславовна,48,HR,HR BP,2024-03-02,,519.0,0,0,9,0,0,9,3.1,6,0
89,Никифоров Савва Феодосьевич,31,Производство,Начальник цеха,2024-06-05,,445.0,0,0,6,0,0,6,2.8,18,0
90,Антонина Львовна Гурьева,37,IT,Аналитик,2023-12-16,,960.0,0,0,12,1,1,0,4.7,10,0
91,Гущина Мария Яковлевна,31,Логистика,Менеджер логистики,2023-01-31,2024-07-24,401.0,0,0,23,0,0,23,2.4,81,1
92,Осипова Ангелина Леонидовна,31,Производство,Начальник цеха,2022-01-16,,435.0,1,2,9,0,0,35,3.5,30,0
93,Комарова Анна Тимофеевна,47,IT,DevOps,2023-10-01,,1004.0,1,1,13,1,1,5,2.3,32,0
94,Елисеев Кузьма Давидович,40,Логистика,Водитель,2022-08-29,,524.0,1,2,2,1,3,3,2.3,67,0
95,Котов Мстислав Владиленович,32,Продажи,Менеджер продаж,2023-03-31,2024-09-12,707.0,0,0,21,0,0,21,3.4,15,1
96,Петров Прохор Адамович,33,Производство,Начальник цеха,2023-08-03,,368.0,0,0,16,1,2,12,3.7,49,0
97,Голубев Сидор Ерофеевич,51,Производство,Технолог,2022-08-26,,499.0,1,1,8,0,0,28,4.2,6,0
98,Евфросиния Аскольдовна Филиппова,44,Логистика,Водитель,2023-03-29,,522.0,1,1,20,1,1,8,3.0,28,0
99,Беспалов Прохор Устинович,52,Производство,Начальник цеха,2024-05-23,2024-12-31,350.0,0,0,7,0,0,7,1.3,7,1
100,Эмилия Максимовна Стрелкова,25,Производство,Оператор,2023-08-03,2024-10-26,575.0,1,1,9,0,0,16,2.4,47,1
101,Лихачева Полина Романовна,38,Производство,Технолог,2023-09-28,,510.0,0,0,15,0,0,15,4.4,9,0
102,Козлова Ульяна Афанасьевна,30,Производство,Мастер смены,2024-01-20,,345.0,0,0,11,1,1,11,2.8,23,0
103,Носов Ратмир Захарьевич,54,Производство,Мастер смены,2023-06-28,,576.0,0,0,18,1,1,15,4.2,81,0
104,Трофимов Савватий Феликсович,31,Финансы,CFO,2022-03-19,,797.0,0,0,33,1,3,30,3.4,78,0
105,Эммануил Зиновьевич Муравьев,47,Логистика,Водитель,2024-03-20,,283.0,0,0,9,1,1,5,2.9,44,0
106,Савельева Эмилия Викторовна,36,Финансы,Финансовый аналитик,2022-04-21,,678.0,1,2,20,1,4,7,2.4,52,0
107,Ираида Романовна Носова,41,Продажи,Директор продаж,2023-12-19,,690.0,0,0,12,0,0,12,3.7,33,0
108,Мина Александрович Устинов,51,Производство,Технолог,2023-02-02,,424.0,1,1,18,1,2,4,3.6,83,0
109,Зайцев Никита Валерианович,48,Продажи,Директор продаж,2023-09-23,,802.0,1,1,1,1,1,6,1.7,79,0
110,Иванна Оскаровна Яковлева,44,Производство,Мастер смены,2023-07-12,,337.0,1,1,6,0,0,17,4.2,78,0
111,Дорофей Изотович Александров,23,Логистика,Кладовщик,2023-10-20,,292.0,1,1,3,0,0,14,3.6,76,0
112,Кудряшова Василиса Николаевна,36,Логистика,Кладовщик,2024-04-12,,360.0,0,0,8,0,0,8,3.0,5,0
113,Чернов Фока Ярославович,38,IT,Аналитик,2023-07-08,,1087.0,0,0,17,1,2,0,4.0,70,0
114,Акулина Феликсовна Орехова,38,Логистика,Водитель,2022-06-28,,293.0,1,2,13,0,0,30,4.1,65,0
115,Журавлева Синклитикия Яковлевна,28,Логистика,Логист,2023-06-10,,391.0,0,0,18,1,2,1,3.3,54,0
116,Сысоева Ираида Максимовна,52,Производство,Оператор,2022-03-04,2022-08-16,557.0,1,1,6,1,3,22,1.8,86,1
117,Афанасий Юльевич Лихачев,31,HR,HR BP,2023-09-15,,423.0,1,1,10,1,1,9,2.5,-18,0
118,Борисов Руслан Егорович,50,Продажи,Старший менеджер,2023-03-17,,782.0,1,1,10,1,1,12,3.8,23,0
119,Ерофей Дмитриевич Абрамов,38,Производство,Начальник цеха,2022-11-17,,425.0,0,0,25,1,3,2,3.8,25,0
120,Калинина Фёкла Эльдаровна,30,Продажи,KAM,2024-04-11,,654.0,0,0,8,0,0,8,3.7,22,0
121,Вероника Ниловна Калинина,25,HR,HR-директор,2024-06-07,2024-12-31,739.0,0,0,6,0,0,6,4.3,-11,1
122,г-н Антонов Ярополк Филатович,45,Производство,Оператор,2022-12-25,,352.0,1,1,18,1,1,13,4.1,78,0
123,Блохин Милован Фёдорович,39,IT,Разработчик,2023-09-16,,656.0,1,1,9,1,1,11,5.0,42,0
124,Бронислав Федотович Шилов,23,Производство,Технолог,2024-01-29,,346.0,0,0,11,1,1,6,3.6,28,0
125,Фомичев Мартьян Вилорович,42,Производство,Мастер смены,2024-01-09,2024-06-30,538.0,0,0,11,0,0,11,4.2,-24,1
126,Егоров Ферапонт Арсенович,50,Производство,Начальник цеха,2023-05-13,,436.0,0,0,19,1,2,3,4.6,14,0
127,Алексеев Ювеналий Ануфриевич,41,Производство,Начальник цеха,2023-06-24,,333.0,1,1,1,0,0,18,4.0,68,0
128,Котова Фаина Валериевна,29,Финансы,Финансовый аналитик,2022-12-02,,483.0,1,2,13,1,1,4,5.0,18,0
129,Белова Ксения Тимуровна,47,Продажи,KAM,2022-03-15,,772.0,0,0,33,1,3,0,3.2,10,0
130,Мишин Мартьян Герасимович,48,Производство,Начальник цеха,2023-12-28,,401.0,1,1,0,1,1,2,3.6,72,0
131,Любосмысл Фролович Ширяев,49,Логистика,Логист,2022-04-01,,487.0,0,0,32,1,3,18,3.2,81,0
132,тов. Носов Антонин Богданович,32,Продажи,Старший менеджер,2022-12-08,,469.0,1,2,3,1,1,24,3.7,14,0
133,Стрелкова Фёкла Станиславовна,28,Продажи,Старший менеджер,2022-08-30,2024-09-01,496.0,0,0,28,1,1,19,4.3,-21,1
134,Аполлон Григорьевич Журавлев,42,Логистика,Менеджер логистики,2023-11-29,,492.0,1,1,2,1,1,1,4.6,30,0
135,Максим Васильевич Петухов,25,Продажи,KAM,2023-08-29,,575.0,0,0,16,1,1,14,3.2,76,0
136,Михайлов Арсений Викентьевич,54,Производство,Оператор,2023-09-22,,428.0,0,0,15,1,1,6,3.6,11,0
137,Коновалова Галина Макаровна,50,Логистика,Кладовщик,2022-03-05,,305.0,1,1,5,1,4,20,3.8,26,0
138,Новиков Семен Зиновьевич,45,Логистика,Кладовщик,2023-01-08,,505.0,1,1,13,1,1,21,4.0,46,0
139,Николай Эдгардович Соловьев,43,Финансы,Финансовый аналитик,2022-03-09,,520.0,1,2,24,1,2,8,3.3,86,0
140,Маслов Ростислав Юльевич,31,HR,HR BP,2022-03-25,2022-09-17,721.0,1,1,25,1,1,19,2.3,60,1
141,Сидорова Акулина Олеговна,43,Производство,Начальник цеха,2023-10-21,2024-08-25,548.0,0,0,14,1,1,8,3.0,-7,1
142,Синклитикия Тимуровна Щербакова,36,Производство,Начальник цеха,2022-07-16,2023-01-25,600.0,0,0,29,0,0,29,4.1,7,1
143,Гордеев Поликарп Феодосьевич,43,Логистика,Водитель,2023-11-09,,495.0,0,0,13,1,1,2,4.3,68,0
144,Харитон Эдгардович Ситников,50,Финансы,Экономист,2024-01-09,,498.0,0,0,11,0,0,11,4.8,26,0
145,Воронов Орест Харлампович,37,Производство,Начальник цеха,2022-08-28,,407.0,1,1,28,1,1,11,3.0,26,0
146,Мефодий Эдуардович Гаврилов,55,Финансы,CFO,2023-05-30,2024-01-16,656.0,0,0,19,0,0,19,2.6,72,1
147,Зоя Кузьминична Новикова,52,HR,HR-специалист,2023-10-19,,706.0,0,0,14,0,0,14,3.2,4,0
148,Корнилов Филарет Егорович,49,HR,Рекрутер,2024-04-30,,432.0,0,0,8,1,1,5,4.8,89,0
149,Мухина Любовь Станиславовна,45,Производство,Начальник цеха,2023-05-30,,386.0,0,0,19,1,1,7,5.0,77,0
150,Данилова Таисия Юльевна,24,Продажи,Старший менеджер,2022-05-21,,550.0,1,1,8,1,3,14,3.8,48,0
151,Марков Игнатий Власович,35,HR,HR-специалист,2022-09-20,,692.0,1,2,23,1,3,3,3.6,-15,0
152,Михеев Феоктист Фокич,29,Производство,Начальник цеха,2022-03-06,,554.0,1,1,1,1,4,18,2.9,0,0
153,Блохина Ульяна Григорьевна,44,Производство,Начальник цеха,2022-01-02,,387.0,1,1,11,0,0,35,2.8,37,0
154,Корнил Демидович Богданов,52,Логистика,Водитель,2023-02-04,,291.0,1,1,11,1,1,0,3.4,15,0
155,Фрол Даниилович Зиновьев,28,Производство,Технолог,2024-01-21,,536.0,0,0,11,0,0,11,4.5,74,0
156,Степанов Гедеон Арсенович,52,Производство,Начальник цеха,2023-12-14,,497.0,0,0,12,0,0,12,3.8,61,0
157,Молчанова Ангелина Леонидовна,34,IT,Разработчик,2022-10-28,2024-08-04,665.0,0,0,26,0,0,26,3.2,20,1
158,Крюкова Регина Евгеньевна,34,Логистика,Водитель,2024-02-11,,350.0,0,0,10,1,1,4,4.1,-15,0
159,Уваров Ефрем Арсенович,50,Производство,Начальник цеха,2024-02-01,,570.0,0,0,10,1,1,2,2.6,88,0
160,Зоя Олеговна Кулагина,49,Логистика,Водитель,2024-01-15,,299.0,0,0,11,1,1,5,3.5,-17,0
161,Носов Аполлинарий Богданович,50,Производство,Мастер смены,2022-11-10,,489.0,1,1,5,1,3,11,2.3,86,0
162,Зыкова Нинель Юльевна,25,Логистика,Менеджер логистики,2022-10-09,,298.0,1,2,12,1,2,16,3.9,72,0
163,Миронов Евсей Трифонович,50,Продажи,Менеджер продаж,2022-05-27,,453.0,0,0,31,1,1,24,3.0,42,0
164,Ольга Валентиновна Кудрявцева,45,Логистика,Менеджер логистики,2023-01-15,,389.0,0,0,23,1,2,4,2.9,37,0
165,Жанна Натановна Блинова,29,Производство,Мастер смены,2022-09-13,2023-09-04,327.0,0,0,27,1,3,16,2.7,3,1
166,тов. Игнатов Мартын Матвеевич,40,Продажи,Старший менеджер,2023-09-19,2024-03-02,707.0,1,1,6,0,0,15,4.2,-13,1
167,Екатерина Федоровна Хохлова,42,Логистика,Менеджер логистики,2022-03-31,,444.0,1,2,4,1,4,17,3.3,-10,0
168,Евпраксия Константиновна Медведева,45,Продажи,Старший менеджер,2024-03-23,,636.0,0,0,9,0,0,9,4.2,71,0
169,Ксения Оскаровна Ковалева,45,Производство,Начальник цеха,2022-01-27,,475.0,1,1,29,1,4,4,3.2,9,0
170,Фомина Зинаида Николаевна,48,IT,IT-менеджер,2023-06-23,,1071.0,0,0,18,0,0,18,3.3,10,0
171,Феоктист Филимонович Соловьев,55,Производство,Начальник цеха,2023-11-28,2024-07-02,416.0,0,0,13,0,0,13,1.9,-23,1
172,Потапов Селиверст Арсеньевич,32,Логистика,Логист,2022-06-18,,359.0,1,2,7,1,2,30,4.2,90,0
173,Кира Александровна Хохлова,34,HR,HR-специалист,2022-09-14,,622.0,1,2,8,1,1,20,3.2,34,0
174,Виссарион Валентинович Семенов,43,Производство,Технолог,2022-06-25,,556.0,1,2,1,0,0,30,4.4,-20,0
175,Панов Олег Гордеевич,35,IT,DevOps,2023-10-29,2024-12-01,1069.0,1,1,9,0,0,14,2.4,7,1
176,Васильева Лариса Захаровна,51,Логистика,Менеджер логистики,2022-11-01,,298.0,0,0,25,1,1,14,3.5,23,0
177,Дементьев Герасим Елисеевич,31,Логистика,Логист,2023-09-14,,357.0,1,1,11,1,1,4,3.6,-17,0
178,Павлов Святополк Феликсович,50,Производство,Оператор,2022-10-01,2024-01-27,389.0,0,0,26,0,0,26,2.5,7,1
179,Романова Ирина Дмитриевна,32,HR,HR-директор,2022-09-12,,685.0,1,2,23,1,2,6,3.6,35,0
180,Сысоев Анатолий Денисович,23,Логистика,Логист,2023-05-25,,302.0,1,1,16,1,1,7,2.6,-3,0
181,Мир Афанасьевич Якушев,53,Производство,Оператор,2022-10-16,2023-10-11,487.0,1,2,21,1,3,9,2.0,25,1
182,Арсений Григорьевич Ковалев,24,Продажи,Директор продаж,2023-01-10,2024-05-09,594.0,0,0,23,1,1,17,3.1,6,1
183,Горшкова Лукия Юрьевна,29,Логистика,Логист,2024-04-25,,312.0,0,0,8,1,1,5,3.7,90,0
184,Олимпиада Ждановна Сорокина,54,Финансы,Экономист,2023-09-09,2024-11-13,649.0,0,0,15,0,0,15,2.8,-26,1
185,Филипп Фомич Федотов,54,Финансы,CFO,2022-06-02,,539.0,1,2,10,1,1,12,4.8,8,0
186,Ксения Эльдаровна Михеева,41,Производство,Начальник цеха,2023-12-27,,453.0,0,0,12,1,1,5,3.4,56,0
187,Нина Тарасовна Гаврилова,23,IT,DevOps,2024-03-26,2024-12-31,974.0,0,0,9,0,0,9,3.3,-9,1
188,Григорий Гертрудович Казаков,37,Продажи,Директор продаж,2022-06-01,,452.0,1,2,3,1,1,0,2.5,26,0
189,Синклитикия Мироновна Рогова,35,Производство,Начальник цеха,2023-12-09,,435.0,1,1,11,0,0,12,3.2,41,0
190,Агафон Гаврилович Дмитриев,46,IT,IT-менеджер,2023-06-23,,816.0,0,0,18,1,1,17,2.6,13,0
191,Изот Виленович Титов,52,Производство,Мастер смены,2023-09-17,,374.0,0,0,15,1,1,9,3.8,8,0
192,Смирнов Фома Тарасович,53,Производство,Технолог,2023-12-08,,409.0,1,1,8,1,1,4,5.0,-15,0
193,Будимир Виленович Владимиров,44,Продажи,Директор продаж,2023-02-09,2024-08-04,808.0,0,0,22,1,1,1,3.2,14,1
194,Красильникова Валерия Вадимовна,34,Продажи,Директор продаж,2022-08-08,,759.0,1,1,17,1,2,4,4.7,-17,0
195,Ульяна Матвеевна Баранова,25,Продажи,Старший менеджер,2022-09-06,,698.0,1,2,7,1,1,1,4.1,30,0
196,Назарова Александра Альбертовна,32,Продажи,Старший менеджер,2022-01-06,,597.0,1,1,30,1,1,24,3.9,6,0
197,Антонина Алексеевна Кудряшова,27,Производство,Оператор,2024-02-27,,503.0,0,0,10,0,0,10,3.9,82,0
198,Родион Иларионович Елисеев,47,Производство,Оператор,2024-05-06,,541.0,0,0,7,0,0,7,3.2,82,0
199,Мухин Потап Исидорович,40,Производство,Оператор,2022-12-10,,447.0,1,2,17,1,3,4,4.0,-6,0
200,Лебедева Алина Георгиевна,51,Производство,Технолог,2024-01-19,,502.0,0,0,11,0,0,11,2.8,64,0
201,Родионова Кира Ефимовна,47,Финансы,Экономист,2022-06-29,,827.0,1,2,10,0,0,30,3.2,-13,0
202,Галина Леонидовна Романова,38,Производство,Технолог,2022-01-07,,427.0,1,1,17,1,2,9,3.7,44,0
203,Власов Капитон Эдгардович,45,Логистика,Логист,2023-11-01,,450.0,0,0,13,0,0,13,3.0,57,0
204,Жданов Антип Евстигнеевич,29,HR,HR BP,2023-12-08,,624.0,1,1,5,0,0,12,3.6,-2,0
205,Виссарион Игнатьевич Щербаков,45,Производство,Технолог,2023-04-11,,436.0,1,1,17,1,2,6,3.6,46,0
206,Осип Вячеславович Анисимов,45,Финансы,CFO,2023-06-25,2024-12-31,513.0,0,0,18,0,0,18,2.3,76,1
207,Маслова Мария Яковлевна,42,Производство,Технолог,2022-06-18,,559.0,1,1,3,1,1,22,3.2,35,0
208,Нонна Эдуардовна Шилова,54,Финансы,CFO,2022-05-16,,654.0,1,2,3,1,3,21,3.3,73,0
209,Соколова Милица Кирилловна,22,Продажи,Директор продаж,2022-09-18,2023-02-25,727.0,1,2,2,0,0,27,2.4,39,1
210,Чернова Лора Макаровна,40,IT,IT-менеджер,2022-02-02,,869.0,0,0,34,1,3,11,4.1,84,0
211,Назар Ерофеевич Мухин,27,Производство,Начальник цеха,2023-01-20,,511.0,0,0,23,1,2,11,5.0,20,0
212,Суханова Валентина Захаровна,22,Производство,Технолог,2024-05-04,,532.0,0,0,7,0,0,7,5.0,56,0
213,Титов Василий Бориславович,36,Логистика,Менеджер логистики,2024-04-23,,341.0,0,0,8,0,0,8,3.2,62,0
214,Октябрина Юльевна Степанова,23,Производство,Начальник цеха,2023-09-22,,387.0,0,0,15,0,0,15,5.0,46,0
215,Феликс Аксёнович Степанов,24,Производство,Оператор,2022-09-08,,433.0,0,0,27,1,1,24,3.7,34,0
216,Романов Феофан Харлампович,42,Производство,Мастер смены,2023-08-15,2024-09-15,386.0,0,0,16,1,2,16,3.3,-2,1
217,Лукин Сигизмунд Денисович,49,Производство,Технолог,2023-10-04,,476.0,0,0,14,1,1,10,2.8,10,0
218,Маслов Варлаам Гертрудович,46,Производство,Технолог,2022-11-04,2023-06-29,371.0,1,2,15,1,1,7,2.3,8,1
